업체명,모델명,연료,도심주행연비,고속도로연비
BMW,BMW 530e,전기+휘발유,15.5,16.4
현대,포터 2.5T-LPDi 2WD 초장축 5AT 슈퍼캡,LPG,6.1,7.1
현대,포터 2.5T-LPDi 2WD 초장축 5AT 더블캡,LPG,6,6.9
현대,포터 2.5T-LPDi 4X4 장축 6MT 슈퍼캡,LPG,6.2,6.4
현대,포터 2.5T-LPDi 4X4 장축 6MT 더블캡,LPG,6.1,6.4
기아,봉고 1톤 2.5T-LPDi 2WD 초장축 6MT 표준캡,LPG,6.7,7.4
기아,봉고 1톤 2.5T-LPDi 2WD 초장축 5AT 표준캡,LPG,6.1,7.1
기아,봉고 1톤 2.5T-LPDi 4X4 장축 6MT 표준캡,LPG,6.2,6.4
기아,봉고 1톤 2.5T-LPDi 2WD 초장축 6MT 킹캡,LPG,6.7,7.4
기아,봉고 1톤 2.5T-LPDi 2WD 초장축 6MT 더블캡,LPG,6.5,7.2
기아,봉고 1톤 2.5T-LPDi 2WD 초장축 5AT 킹캡,LPG,6.1,7.1
기아,봉고 1톤 2.5T-LPDi 2WD 초장축 5AT 더블캡,LPG,6,6.9
기아,봉고 1톤 2.5T-LPDi 4X4 장축 6MT 킹캡,LPG,6.2,6.4
기아,봉고 1톤 2.5T-LPDi 4X4 장축 6MT 더블캡,LPG,6.2,6.4
벤틀리,Flying Spur S,휘발유,5.5,8.7
벤틀리,Flying Spur S,휘발유,5.5,8.7
벤틀리,Flying Spur V8,휘발유,5.5,8.7
BMW,BMW 220i Active Tourer,휘발유,9.6,13.8
BMW,BMW X1 xDrive20i,휘발유,9.4,12.8
기아,"카니발(KA4 PE) 3.5GDI 9인 18""(nC)",휘발유,7.8,10.9
기아,"카니발(KA4 PE) 3.5GDI 9인 18""(C)",휘발유,7.7,10.9
기아,"카니발(KA4 PE) 3.5GDI 7인 19""(nC)",휘발유,7.8,10.9
벤틀리,Continental GT V8,휘발유,6.4,9
기아,"카니발(KA4 PE) 3.5GDI 7인 19""(C)",휘발유,7.7,10.9
GM,캐딜락 Lyriq,전기,4.1,3.7
기아,"카니발(KA4 PE) 2.2디젤 7인 19"" (nC)",경유,11.6,15.3
기아,"카니발(KA4 PE) 2.2디젤 7인 19"" (C)",경유,11.5,15.2
BMW,BMW X1 sDrive18d,경유,13.6,16.7
BMW,BMW X2 sDrive18d,경유,12.5,17.1
BMW,BMW X2 xDrive20i,휘발유,9.4,13.1
마세라티,마세라티 그란투리스모 모데나,휘발유,7.2,10.6
BMW,BMW X1 sDrive20i,휘발유,10.1,13.6
마세라티,마세라티 그란투리스모 트로페오,휘발유,7.2,10.5
페라리,페라리 Roma Spider,휘발유,7,9.6
기아,"카니발(KA4 PE) HEV 1.6T-GDI 7/9인 19""",휘발유,14,12.9
PSA Automobiles,Peugeot 2008 1.5 BlueHDi,경유,15.7,19
기아,"카니발(KA4 PE) HEV 1.6T-GDI 9인 18""(nC)",휘발유,14.6,13.3
기아,"카니발(KA4 PE) HEV 1.6T-GDI 9인 18""(C)",휘발유,14,13.4
포드,Mustang 2.3L Convertible,휘발유,8.4,11.5
포드,Mustang GT 5.0L Convertible,휘발유,6.1,9.2
기아,"카니발(KA4 PE) 2.2디젤 하이리무진 7인 19""",경유,10.4,13.6
기아," 카니발(KA4 PE) 2.2디젤 하이리무진 9인 18/19""",경유,10.4,13.7
기아,"카니발(KA4 PE) 2.2디젤 9인 18/19"" (nC)",경유,11.6,15.3
기아,"카니발(KA4 PE) 2.2디젤 9인 18/19"" (C)",경유,11.5,15.2
기아,"카니발(KA4 PE) 3.5GDI 하이리무진 7인 19""",휘발유,7.6,10.4
벤틀리,Flying Spur V8,휘발유,5.5,8.7
기아,"카니발(KA4 PE) 3.5GDI 하이리무진 9인 18/19""",휘발유,7.6,10.4
